Commit SHA,File Name,Old Function Signature,New Function Signature
a7e3971fddc7512fb1bd00aa2ea4388664656b2b,Streams.java,"static void copy(InputStream src, OutputStream dst) throws IOException","static void copy(InputStream src, OutputStream dst, boolean closeInput, boolean closeOutput) throws IOException"
10db917e9380ca4d741e06152fd1ee506666c1c3,Gson.java,"public void toJson(Object src, Appendable writer)","public void toJson(Object src, Type typeOfSrc, Appendable writer) throws JsonIOException"
be05420c6b6fe150faaba4152a2846fbab95408e,RestRequestReceiver.java,"public RestRequest<I, R> receive(HttpServletRequest request)","public RestRequest<I, R> receive(HttpServletRequest request, I resourceId)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,AnonymousAndLocalClassExclusionStrategy.java,public boolean shouldSkipField(FieldAttributes f),"public boolean shouldSkipField(FieldAttributes f, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,AnonymousAndLocalClassExclusionStrategy.java,public boolean shouldSkipClass(Class<?> clazz),"public boolean shouldSkipClass(Class<?> clazz, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,DisjunctionExclusionStrategy.java,public boolean shouldSkipField(FieldAttributes f),"public boolean shouldSkipField(FieldAttributes f, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,DisjunctionExclusionStrategy.java,public boolean shouldSkipClass(Class<?> clazz),"public boolean shouldSkipClass(Class<?> clazz, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,InnerClassExclusionStrategy.java,public boolean shouldSkipField(FieldAttributes f),"public boolean shouldSkipField(FieldAttributes f, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,InnerClassExclusionStrategy.java,public boolean shouldSkipClass(Class<?> clazz),"public boolean shouldSkipClass(Class<?> clazz, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,ModifierBasedExclusionStrategy.java,public boolean shouldSkipField(FieldAttributes f),"public boolean shouldSkipField(FieldAttributes f, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,ModifierBasedExclusionStrategy.java,public boolean shouldSkipClass(Class<?> clazz),"public boolean shouldSkipClass(Class<?> clazz, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,NullExclusionStrategy.java,public boolean shouldSkipField(FieldAttributes f),"public boolean shouldSkipField(FieldAttributes f, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,NullExclusionStrategy.java,public boolean shouldSkipClass(Class<?> clazz),"public boolean shouldSkipClass(Class<?> clazz, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,SyntheticFieldExclusionStrategy.java,public boolean shouldSkipClass(Class<?> clazz),"public boolean shouldSkipClass(Class<?> clazz, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,SyntheticFieldExclusionStrategy.java,public boolean shouldSkipField(FieldAttributes f),"public boolean shouldSkipField(FieldAttributes f, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,VersionExclusionStrategy.java,public boolean shouldSkipField(FieldAttributes f),"public boolean shouldSkipField(FieldAttributes f, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,VersionExclusionStrategy.java,public boolean shouldSkipClass(Class<?> clazz),"public boolean shouldSkipClass(Class<?> clazz, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,FunctionWithInternalDependenciesTest.java,public boolean shouldSkipClass(Class<?> clazz),"public boolean shouldSkipClass(Class<?> clazz, Mode mode)"
b883f8f4aaa7ae906b4298cc43223060495fc6ff,FunctionWithInternalDependenciesTest.java,public boolean shouldSkipField(FieldAttributes f),"public boolean shouldSkipField(FieldAttributes f, Mode mode)"
114633fbf933c3085a189d20c62fadae0398fb39,ExclusionStrategyFunctionalTest.java,private static Gson createGson(ExclusionStrategy exclusionStrategy),"private static Gson createGson(ExclusionStrategy exclusionStrategy, Mode mode)"
13dc7b6f0255745479607fdea82a502db9aff5a8,ObjectNavigator.java,public void accept(Visitor visitor),"public void accept(ObjectTypePair objTypePair, Visitor visitor)"
9196b2325126988f72248a7d35ffcb44744e0134,GsonBuilder.java,"private GsonBuilder registerInstanceCreator(Type typeOfT, InstanceCreator<? extends T> instanceCreator)","private GsonBuilder registerInstanceCreator(Type typeOfT, InstanceCreator<? extends T> instanceCreator, boolean isSystem)"
9196b2325126988f72248a7d35ffcb44744e0134,GsonBuilder.java,"private GsonBuilder registerDeserializer(Type typeOfT, JsonDeserializer<T> deserializer)","private GsonBuilder registerDeserializer(Type typeOfT, JsonDeserializer<T> deserializer, boolean isSystem)"
9196b2325126988f72248a7d35ffcb44744e0134,GsonBuilder.java,"private GsonBuilder registerInstanceCreatorForTypeHierarchy(Class<?> classOfT, InstanceCreator<? extends T> instanceCreator)","private GsonBuilder registerInstanceCreatorForTypeHierarchy(Class<?> classOfT, InstanceCreator<? extends T> instanceCreator, boolean isSystem)"
9196b2325126988f72248a7d35ffcb44744e0134,GsonBuilder.java,"private GsonBuilder registerDeserializerForTypeHierarchy(Class<?> classOfT, JsonDeserializer<T> deserializer)","private GsonBuilder registerDeserializerForTypeHierarchy(Class<?> classOfT, JsonDeserializer<T> deserializer, boolean isSystem)"
9196b2325126988f72248a7d35ffcb44744e0134,ParameterizedTypeHandlerMap.java,"public synchronized void registerForTypeHierarchy(Class<?> typeOfT, T value)","public synchronized void registerForTypeHierarchy(Class<?> typeOfT, T value, boolean isSystem)"
9196b2325126988f72248a7d35ffcb44744e0134,ParameterizedTypeHandlerMap.java,"public synchronized void registerForTypeHierarchy(Pair<Class<?>, T> pair)","public synchronized void registerForTypeHierarchy(Pair<Class<?>, T> pair, boolean isSystem)"
9196b2325126988f72248a7d35ffcb44744e0134,ParameterizedTypeHandlerMap.java,"public synchronized void register(Type typeOfT, T value)","public synchronized void register(Type typeOfT, T value, boolean isSystem)"
62675b7f46e805fe15a04a7b8b252da6dac00c15,JsonDeserializationContext.java,"private T fromJsonArray(Type arrayType, JsonArray jsonArray, JsonDeserializationContext context) throws JsonParseException","private T fromJsonArray(Type arrayType, JsonArray jsonArray, JsonDeserializationContext context, boolean systemOnly) throws JsonParseException"
62675b7f46e805fe15a04a7b8b252da6dac00c15,JsonDeserializationContext.java,"private T fromJsonObject(Type typeOfT, JsonObject jsonObject, JsonDeserializationContext context) throws JsonParseException","private T fromJsonObject(Type typeOfT, JsonObject jsonObject, JsonDeserializationContext context, boolean systemOnly) throws JsonParseException"
62675b7f46e805fe15a04a7b8b252da6dac00c15,JsonDeserializationContext.java,"private T fromJsonPrimitive(Type typeOfT, JsonPrimitive json, JsonDeserializationContext context) throws JsonParseException","private T fromJsonPrimitive(Type typeOfT, JsonPrimitive json, JsonDeserializationContext context, boolean systemOnly) throws JsonParseException"
62675b7f46e805fe15a04a7b8b252da6dac00c15,JsonSerializationContext.java,"JsonElement serialize(Object src, Type typeOfSrc, boolean preserveType)","JsonElement serialize(Object src, Type typeOfSrc, boolean preserveType, boolean defaultOnly)"
62675b7f46e805fe15a04a7b8b252da6dac00c15,ParameterizedTypeHandlerMap.java,public synchronized T getHandlerFor(Type type),"public synchronized T getHandlerFor(Type type, boolean systemOnly)"
62675b7f46e805fe15a04a7b8b252da6dac00c15,ParameterizedTypeHandlerMap.java,private T getHandlerForTypeHierarchy(Class<?> type),"private T getHandlerForTypeHierarchy(Class<?> type, boolean systemOnly)"
f276d1382775e962d1a0a4b9e7e3e08496252861,ReflectiveTypeAdapter.java,"static BoundField createBoundField(final MiniGson context, final Field field, final TypeToken<?> fieldType)","static BoundField createBoundField(final MiniGson context, final Field field, final TypeToken<?> fieldType, boolean serialize, boolean deserialize)"
f1f8b666ec665b41446ddb3d68de115d8ce91d2f,ReflectiveTypeAdapter.java,"static BoundField createBoundField(final MiniGson context, final Field field, final TypeToken<?> fieldType, boolean serialize, boolean deserialize)","static BoundField createBoundField(final MiniGson context, final Field field, final String name, final TypeToken<?> fieldType, boolean serialize, boolean deserialize)"
ec42d600af5080d98283db7eac890de16cd43798,JsonReader.java,private String nextLiteral() throws IOException,private String nextLiteral(boolean assignOffsetsOnly) throws IOException
61a549b74d0103f6531886e465d4dcedb9ff6d52,JsonReader.java,private int nextNonWhitespace() throws IOException,private int nextNonWhitespace(boolean throwOnEof) throws IOException
ecdf9150f6cc820dafddea5b545f456fed47472f,Gson.java,"public TypeAdapter<T> getNextAdapter(TypeAdapterFactory skipPast, TypeToken<T> type)","public TypeAdapter<T> getNextAdapter(Gson gson, TypeAdapterFactory skipPast, TypeToken<T> type)"
1a4f690335ae1129620079c4b5587a7261206c12,ConstructorConstructor.java,private ObjectConstructor<T> newDefaultImplementationConstructor(Class<? super T> rawType),"private ObjectConstructor<T> newDefaultImplementationConstructor(Type type, Class<? super T> rawType)"
084047d80b582317f382536604373cafa14583a4,StringPool.java,"public String get(char[] array, int start, int length)","public String get(char[] array, int start, int length, int hashCode)"
a6ab854302bf2398ed221afe7aefd0c717b5d1fa,LinkedTreeMap.java,"void removeInternal(Node<K, V> node)","void removeInternal(Node<K, V> node, boolean unlink)"
e280ffd7e2fe14140c9478a546c6f074cf089a13,JsonAdapterAnnotationTypeAdapterFactory.java,"static TypeAdapter<?> getAnnotationTypeAdapter(ConstructorConstructor constructorConstructor, JsonAdapter annotation)","static TypeAdapter<?> getAnnotationTypeAdapter(Gson gson, ConstructorConstructor constructorConstructor, JsonAdapter annotation)"
55b4a3f9b0adc2d494ae0b3bf747afb398f3b9dd,ProtoTypeAdapter.java,"private static Method getCachedMethod(Class<?> clazz, String methodName) throws NoSuchMethodException","private static Method getCachedMethod(Class<?> clazz, String methodName, Class<?>... methodParamTypes) throws NoSuchMethodException"
c1e7e2d2808b042cbe47ca31869ee6ccc62c5417,RuntimeTypeAdapterFactory.java,"public static RuntimeTypeAdapterFactory<T> of(Class<T> baseType, String typeFieldName)","public static RuntimeTypeAdapterFactory<T> of(Class<T> baseType, String typeFieldName, boolean maintainType)"
c1e7e2d2808b042cbe47ca31869ee6ccc62c5417,RuntimeTypeAdapterFactory.java,public static RuntimeTypeAdapterFactory<T> of(Class<T> baseType),"public static RuntimeTypeAdapterFactory<T> of(Class<T> baseType, String typeFieldName, boolean maintainType)"
